OPR_DT,VALUE
2/15/23,64.60112
2/15/23,55.28253
2/15/23,52.12838
2/15/23,53.66286
2/15/23,56.51021
2/15/23,59.64951
2/15/23,66.26866
2/15/23,52.77642
2/15/23,53.73861
2/15/23,52.35237
2/15/23,42.72056
2/15/23,41.28498
2/15/23,39.0963
2/15/23,38.60386
2/15/23,37.72039
2/15/23,34.2932
2/15/23,17.46611
2/15/23,26.67569
2/15/23,21.06021
2/15/23,32.17094
2/15/23,38.22098
2/15/23,38.25089
2/15/23,38.4904
2/15/23,37.72436
2/15/23,37.51998
2/15/23,30.31351
2/15/23,28.04244
2/15/23,26.5952
2/15/23,39.52122
2/15/23,40.14436
2/15/23,37.85266
2/15/23,37.47594
2/15/23,32.51674
2/15/23,27.81245
2/15/23,37.73284
2/15/23,34.91399
2/15/23,35.33354
2/15/23,36.02929
2/15/23,33.8336
2/15/23,31.11325
2/15/23,38.40768
2/15/23,37.37514
2/15/23,35.53307
2/15/23,31.23993
2/15/23,25.73612
2/15/23,25.91079
2/15/23,25.00839
2/15/23,24.44703
2/15/23,24.44703
2/15/23,21.68083
2/15/23,20.75004
2/15/23,20.75004
2/15/23,18.89885
2/15/23,17.06506
2/15/23,17.00108
2/15/23,16.53994
2/15/23,2.78905
2/15/23,2.77105
2/15/23,16.61137
2/15/23,19.66289
2/15/23,25.03302
2/15/23,23.43805
2/15/23,16.59265
2/15/23,16.61952
2/15/23,19.38719
2/15/23,20.09966
2/15/23,28.69561
2/15/23,30.05748
2/15/23,16.83493
2/15/23,3.08167
2/15/23,3.02665
2/15/23,2.78163
2/15/23,3.05198
2/15/23,2.96857
2/15/23,2.92194
2/15/23,2.96857
2/15/23,6.39948
2/15/23,2.94065
2/15/23,2.93181
2/15/23,3.2553
2/15/23,13.3697
2/15/23,11.83054
2/15/23,17.78938
2/15/23,17.1692
2/15/23,5.64955
2/15/23,11.70963
2/15/23,14.1361
2/15/23,22.0883
2/15/23,1.46353
2/15/23,1.43131
2/15/23,1.49575
2/15/23,-0.74258
2/15/23,2.54616
2/15/23,6.99051
2/15/23,4.39435
2/15/23,1.81226
2/15/23,11.28819
2/15/23,37.82883
2/15/23,39.40547
2/15/23,39.40364
2/15/23,16.33358
2/15/23,10.31173
2/15/23,33.20221
2/15/23,37.55641
2/15/23,40.5062
2/15/23,41.66708
2/15/23,46.95686
2/15/23,54.51109
2/15/23,64.95058
2/15/23,79.84806
2/15/23,83.79884
2/15/23,83.9995
2/15/23,61.55173
2/15/23,55.13147
2/15/23,55.02104
2/15/23,57.90884
2/15/23,70.80698
2/15/23,72.46112
2/15/23,80.71265
2/15/23,83.64271
2/15/23,83.64039
2/15/23,97.81818
2/15/23,104.44349
2/15/23,101.43384
2/15/23,83.83467
2/15/23,84.24131
2/15/23,81.77396
2/15/23,81.5391
2/15/23,81.5391
2/15/23,81.34489
2/15/23,81.50092
2/15/23,81.28899
2/15/23,81.28899
2/15/23,81.4431
2/15/23,81.65577
2/15/23,81.4431
2/15/23,87.41616
2/15/23,85.29621
2/15/23,84.20402
2/15/23,84.45838
2/15/23,84.35738
2/15/23,84.2698
2/15/23,83.7587
2/15/23,84.47267
2/15/23,84.57381
2/15/23,85.98275
2/15/23,84.57634
2/15/23,84.57634
2/15/23,91.61466
2/15/23,90.67615
2/15/23,91.10281
2/15/23,91.82047
2/15/23,91.70467
2/15/23,90.3173
2/15/23,88.52654
2/15/23,87.32231
2/15/23,87.35428
2/15/23,84.58399
2/15/23,84.58399
2/15/23,85.17846
2/15/23,101.89178
2/15/23,102.86353
2/15/23,99.73942
2/15/23,99.21421
2/15/23,96.8128
2/15/23,94.88264
2/15/23,92.15091
2/15/23,91.52811
2/15/23,90.13902
2/15/23,89.42137
2/15/23,90.18499
2/15/23,89.56804
2/15/23,91.59442
2/15/23,96.30744
2/15/23,90.65617
2/15/23,90.44752
2/15/23,90.4502
2/15/23,91.99512
2/15/23,91.11748
2/15/23,89.42245
2/15/23,89.61364
2/15/23,85.20732
2/15/23,82.09314
2/15/23,82.09314
2/15/23,89.2668
2/15/23,89.27589
2/15/23,89.27589
2/15/23,89.23954
2/15/23,83.22276
2/15/23,76.20722
2/15/23,70.39271
2/15/23,69.03459
2/15/23,68.99016
2/15/23,67.84832
2/15/23,67.84832
2/15/23,65.30935
2/16/23,85.26557
2/16/23,90.42181
2/16/23,90.72981
2/16/23,90.60898
2/16/23,90.60898
2/16/23,90.60898
2/16/23,90.57193
2/16/23,90.57193
2/16/23,90.57193
2/16/23,90.5077
2/16/23,90.5077
2/16/23,90.5077
2/16/23,90.70011
2/16/23,90.70011
2/16/23,89.99172
2/16/23,89.9694
2/16/23,89.15382
2/16/23,86.38943
2/16/23,86.41558
2/16/23,86.41558
2/16/23,85.67888
2/16/23,86.23283
2/16/23,82.56801
2/16/23,81.85068
2/16/23,86.60045
2/16/23,84.00884
2/16/23,84.00884
2/16/23,85.05549
2/16/23,84.22355
2/16/23,82.84364
2/16/23,83.03913
2/16/23,83.03913
2/16/23,83.03913
2/16/23,82.92198
2/16/23,82.92198
2/16/23,81.32057
2/16/23,84.00865
2/16/23,82.80443
2/16/23,84.00865
2/16/23,85.59207
2/16/23,85.16101
2/16/23,85.16101
2/16/23,87.85056
2/16/23,91.92
2/16/23,91.92
2/16/23,91.92
2/16/23,91.92
2/16/23,90.0024
2/16/23,86.26027
2/16/23,86.26027
2/16/23,90.46265
2/16/23,91.16257
2/16/23,90.03215
2/16/23,89.10547
2/16/23,87.31707
2/16/23,90
2/16/23,94.79734
2/16/23,98.3871
2/16/23,99.68289
2/16/23,96
2/16/23,66.88356
2/16/23,64.01758
2/16/23,62.84306
2/16/23,62.7548
2/16/23,64.94691
2/16/23,68.13228
2/16/23,91.40972
2/16/23,100.04102
2/16/23,102.61109
2/16/23,103.89148
2/16/23,109.9963
2/16/23,99.57459
2/16/23,87.33933
